productID	title	sku	amount	nick	vipLevel	anony	rateID	rate	content	date	buyAmount	dayAfterConfirm	photoNum	
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	胜***山	0	true	250806476466	1	衣服面料很好，做工很精细，样式也不错，非常喜欢	2015年09月10日 18:51	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	j***1	0	true	250813907438	1	衣服面料不错，穿上合适舒服，满意	2015年09月06日 09:21	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场套装不印号??尺码:L	88	染***鱼	0	true	253283994162	1	衣服质量很好，很酷 超喜欢 好评	2015年10月06日 09:13	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	廷***代	0	true	249427130995	1	很不错 穿着合身 价钱不贵 赞	2015年08月21日 20:24	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:S	88	腕***4	0	true	250945598202	1	质量很好、款式不错、很满意这次的购买	2015年09月09日 19:41	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	丽***1	0	true	252422626183	1	卖家发货很及时，东西很好，很贴心，赞一个	2015年09月28日 10:05	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	冷***1	0	true	249669120928	1	运动服收到了，面料好穿上舒服，尺码合适	2015年08月24日 10:29	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场套装不印号??尺码:M	88	都***孩	0	true	248011145249	1	质量很好，价格也很划算，有需要还会再来的。  \n	2015年08月06日 00:43	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:M	88	t***1	0	true	250745474435	1	宝贝不错喜欢 质量很好 下次还来你家	2015年09月09日 08:21	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	阿***5	0	false	252975989282	1	宝贝收到了，版型不错，质量很好，谢谢店家	2015年10月05日 11:25	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	w***0	0	true	247758377185	1	衣服质量做工很好。穿着合身，很喜欢！	2015年08月02日 09:12	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场套装不印号??尺码:M	88	鲜***适	0	true	249569840123	1	球衣质量很好，款式也不错，面料很透气。	2015年08月21日 13:07	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场套装不印号??尺码:M	88	马***宗	0	true	252146014743	1	 真的很好，老婆很喜欢，下次还来	2015年09月24日 09:56	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场上衣印号??尺码:XL	78	小***子	0	true	249409584618	1	宝贝收到 衣服质量不错 穿起来很是舒服	2015年08月20日 10:35	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	四***7	0	true	252684547376	1	质量很好，穿着打球很方便，好评	2015年09月27日 22:32	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	回***0	0	true	251990656554	1	不错，质量挺好的，物美价廉。	2015年09月20日 16:16	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	鼻***吗	0	true	248900163138	1	物流很快，包装很好，很喜欢	2015年08月17日 18:38	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场套装不印号??尺码:L	88	美***2	0	true	253875497341	1	衣服收到了，质量很好，物流挺快。	2015年10月16日 13:25	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:M	88	t***1	0	true	253099038032	1	是正品，穿在身上特别舒服，很满意	2015年10月05日 09:24	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	j***1	0	true	249678757378	1	东西还可以 我比较喜欢 呵呵 挺好	2015年08月26日 10:11	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:客场套装不印号??尺码:M	88	q***祁	0	false	249726206326	1	衣服挺好的，打球穿上贼拉风，老婆说我臭美呢！	2015年08月25日 20:56	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:L	88	a***4	0	true	248841201892	1	质量不错 面料舒适透气 	2015年08月15日 10:13	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:M	88	鄢***8	0	true	248861182405	1	衣服还可以 我比较喜欢 满意	2015年08月15日 11:08	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	丰***考	0	true	249122496312	1	质量很好，样式也好看，满意	2015年08月15日 21:44	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:S	88	乾***8	0	true	249120197862	1	布料很好，质量不错，好评	2015年08月20日 08:55	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场套装不印号??尺码:XL	88	雷***影	0	true	253622672184	1	质量不错呢..穿着挺舒服的..	2015年10月09日 10:58	1	0	0
520092717351	顶级泰版15-16新款AC米兰22卡卡主场球衣 92号沙拉维客场足球队服	颜色分类:主场上衣印号??尺码:M	78	a***u	0	true	253657152236	1	穿上踢两次球看看效果再说	2015年10月09日 18:00	1	0	0
