productID	commentID	nick	tmallLevel	anony	content	serviceContent	date	photoNum	
40956701170	253825486946	艾***狄	3	true	衣服很薄很薄，明显的线头有好几个，还有一处是被割破的。		2015-10-14 17:31:27	1
40956701170	254046029294	t***5	0	true	色差太大退货太麻烦不退款了		2015-10-14 18:39:49	1
40956701170	252493397108	保***尼	4	true	新款，无色差，袖子略长，米兰死忠，大爱！		2015-09-28 14:03:44	1
40956701170	253333829063	林***r	2	true	衣服很漂亮，就是有点薄，我176，68，L刚好		2015-10-09 09:18:36	1
40956701170	252581112260	炸***汤	0	true	衣服质量不错 还会再来选购		2015-09-29 20:48:19	1
40956701170	253865410900	y***3	0	true	很好		2015-10-16 18:34:02	1
40956701170	223738408024	s***o	0	true	这件质量上是过硬的，而且用料比较厚实，但是在尺寸上偏小，和我以往穿的adidas M号有点差距		2014-09-27 00:38:23	1
40956701170	223288573171	l***澈	2	true	经客服建议选了号。不错穿着正好。	服务不错，就是比较慢。	2014-09-20 09:15:25	1
40956701170	223706336836	李***6	2	true	是正品，给儿子买的，他很喜欢，穿着也合适！		2014-09-26 00:12:49	1
40956701170	222821087850	x***3	2	true	很好 就是衣服下边的松紧带有点窄		2014-09-15 18:02:08	1
40956701170	223783096170	x***7	3	true	伟大的企业是不是不要和中国邮政这样糟糕的物流企业合作，简直无法理解。		2014-09-27 12:26:08	1
40956701170	224436437782	利***9	2	true	有点偏大，不过质量还是蛮好的		2014-10-06 20:09:12	1
40956701170	224842961381	庞***2	2	true	不错，很合身		2014-10-10 19:21:54	1
40956701170	224473251855	w***4	2	false	挺不错的，正合身～		2014-10-06 11:21:19	1
40956701170	225250788277	y***7	0	true	质量好 样子棒 就是比想象的薄		2014-10-15 18:15:35	1
40956701170	223738072623	l***0	3	true	不错，穿上正合适，赞		2014-09-27 11:14:02	1
40956701170	223482004225	新***啊	2	true	衣服不错，物流很快		2014-09-23 11:06:50	1
40956701170	226076684692	t***8	2	true	挺好的，与想象中差不多，穿起来很舒服，很好看		2014-10-27 09:49:41	1
40956701170	228118513864	w***h	0	true	有点薄，很舒服www		2014-11-17 00:50:52	1
40956701170	223843951028	斫***光	3	true	很喜欢~非常好看~		2014-09-28 16:56:22	1
40956701170	225499470822	殷***雄	0	true	有点薄，二维码怎么扫不出。		2014-10-19 13:34:01	1
40956701170	226543898307	a***j	4	true	bucuo		2014-10-30 22:59:16	1
40956701170	225624266709	红***7	0	true	比想象中的小点		2014-10-20 12:01:26	1
40956701170	224368241991	t***1	2	false	还没试穿 应该不错		2014-10-05 15:04:44	1
40956701170	223493750714	b***j	3	true	穿上很舒服，很好看		2014-09-22 20:36:17	1
40956701170	223382591944	1***刚	0	true	可以 很好		2014-09-23 09:05:30	1
